index,source,target
73,"OFF<join at=""1566804"">ON<join at=""1566808""><join at=""1566812"">",
74,"ON<join at=""1566820"">OFF<join at=""1566824""><join at=""1566828"">",
75,"OFF<join at=""1566836"">TYPE 1<join at=""1566840"">TYPE 2<join at=""1566844"">",
76,"ON<join at=""1566852"">OFF<join at=""1566856""><join at=""1566860"">",
77,"ON<join at=""1566868"">OFF<join at=""1566872""><join at=""1566876"">",
78,"OFF<join at=""1566884"">ON<join at=""1566888""><join at=""1566892"">",
79,"OFF<join at=""1566900"">ON<join at=""1566904""><join at=""1566908"">",
80,"{c05}OFF{/c}<join at=""1566916"">{c05}ON{/c}<join at=""1566920"">OFF<join at=""1566924"">ON",
81,"ON<join at=""1566932"">OFF<join at=""1566936""><join at=""1566940"">",
82,"Step Based<join at=""1566948"">Smooth 1<join at=""1566952"">Smooth 2<join at=""1566956"">",
83,"<join at=""1566964""><join at=""1566968""><join at=""1566972"">",
84,"TYPE 1<join at=""1566980"">TYPE 2<join at=""1566984""><join at=""1566988"">",
85,"<join at=""1566996""><join at=""1567000""><join at=""1567004"">",
86,"<join at=""1567012""><join at=""1567016""><join at=""1567020"">",
87,"OFF<join at=""1567028"">ON<join at=""1567032""><join at=""1567036"">",
88,"ON<join at=""1567044"">OFF<join at=""1567048""><join at=""1567052"">",
89,"OFF<join at=""1567060"">ON<join at=""1567064""><join at=""1567068"">",
90,"TYPE 1<join at=""1567076"">TYPE 2<join at=""1567080"">TYPE 3<join at=""1567084"">",
91,"TYPE 1<join at=""1567092"">TYPE 2<join at=""1567096""><join at=""1567100"">",
